country, "GDP-per-capita ($; 2012)"
Luxembourg,  107475.95    
Norway,  99557.73    
Switzerland, 79052.34    
Macau,   78275.15    
Australia,   67035.57    
Denmark, 56210.23    
Sweden,  55244.65    
Canada,  52218.99    
Singapore,   51709.45    
"United States",   49965.27    
Austria, 47226.20    
Japan,   46720.36    
Finland, 46178.59    
Netherlands, 46054.41    
Ireland, 45835.75    
Belgium, 43412.53    
Iceland, 42658.40    
Germany, 41514.17    
Brunei,  41126.61    
France,  39771.84    
"United Kingdom",  38514.46    
"New Zealand", 37749.44    
"Hong Kong",   36795.82    
Italy,   33048.75    
"European Union",  32676.48    
Spain,   29195.38    
"Puerto Rico", 27677.53    
"Saudi Arabia",    25136.21    
"Equatorial Guinea",   24035.71    
"South Korea", 22590.16    
Greece,  22082.89    
Slovenia,    22000.51    
"The Bahamas", 21908.28    
Malta,   20847.59    
Cyprus,  20355.25    
Portugal,    20182.40    
"Czech Republic",  18607.71    
"Trinidad and Tobago", 17934.06    
Slovakia,    16931.63    
Estonia, 16316.46    
Chile,   15355.89    
Uruguay, 14449.50    
Lithuania,   14096.94    
Russia,  14037.03    
Latvia,  13983.96    
"Saint Kitts and Nevis",   13968.58    
Croatia, 13227.47    
"Antigua and Barbuda", 13207.16    
Venezuela,   12728.73    
Poland,  12707.85    
Hungary, 12621.74    
Kazakhstan,  11935.43    
Seychelles,  11758.04    
Argentina,   11452.13    
Gabon,   11430.49    
Brazil,  11339.52    
Palau,   11005.87    
Turkey,  10666.06    
Malaysia,    10380.54    
Mexico,  9747.46    